# EOS Table generated on 20120307 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.158181E-01
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
-1.95914342E-03 1.41406935E+00 1.89278703E-02
-1.97002241E-03 1.41467111E+00 1.88215104E-02
-1.98073421E-03 1.41527250E+00 1.87158987E-02
-1.99130343E-03 1.41587447E+00 1.86096829E-02
-2.00173198E-03 1.41647703E+00 1.85028527E-02
-2.01202172E-03 1.41708018E+00 1.83953974E-02
-2.02217449E-03 1.41768392E+00 1.82873061E-02
-2.03219210E-03 1.41828825E+00 1.81785675E-02
-2.04207634E-03 1.41889317E+00 1.80691701E-02
-2.05182900E-03 1.41949868E+00 1.79591019E-02
-2.06125785E-03 1.42009537E+00 1.78595100E-02
-2.07050990E-03 1.42068999E+00 1.77625244E-02
-2.07964169E-03 1.42128520E+00 1.76650032E-02
-2.08865527E-03 1.42188098E+00 1.75669365E-02
-2.09755199E-03 1.42247735E+00 1.74683156E-02
-2.10633320E-03 1.42307431E+00 1.73691315E-02
-2.11500088E-03 1.42367185E+00 1.72693734E-02
-2.12355585E-03 1.42426998E+00 1.71690328E-02
-2.13200004E-03 1.42486870E+00 1.70680984E-02
-2.14018193E-03 1.42545962E+00 1.69749877E-02
-2.14817653E-03 1.42604653E+00 1.68860123E-02
-2.15607079E-03 1.42663401E+00 1.67965619E-02
-2.16386532E-03 1.42722207E+00 1.67066303E-02
-2.17156201E-03 1.42781071E+00 1.66162083E-02
-2.17916145E-03 1.42839993E+00 1.65252894E-02
-2.18666550E-03 1.42898973E+00 1.64338639E-02
-2.19407486E-03 1.42958012E+00 1.63419245E-02
-2.20139089E-03 1.43017108E+00 1.62494620E-02
-2.20849988E-03 1.43075554E+00 1.61625564E-02
-2.21541234E-03 1.43133379E+00 1.60810259E-02
-2.22224050E-03 1.43191262E+00 1.59990776E-02
-2.22898537E-03 1.43249202E+00 1.59167049E-02
-2.23564796E-03 1.43307199E+00 1.58339015E-02
-2.24222927E-03 1.43365253E+00 1.57506605E-02
-2.24873029E-03 1.43423365E+00 1.56669749E-02
-2.25515198E-03 1.43481535E+00 1.55828376E-02
-2.26149531E-03 1.43539763E+00 1.54982414E-02
-2.26768108E-03 1.43597492E+00 1.54172743E-02
-2.27366130E-03 1.43654361E+00 1.53426744E-02
-2.27957108E-03 1.43711287E+00 1.52677081E-02
-2.28541157E-03 1.43768269E+00 1.51923693E-02
-2.29118292E-03 1.43825308E+00 1.51166539E-02
-2.29688627E-03 1.43882404E+00 1.50405556E-02
-2.30252258E-03 1.43939556E+00 1.49640681E-02
-2.30809248E-03 1.43996766E+00 1.48871858E-02
-2.31359656E-03 1.44054033E+00 1.48099031E-02
-2.31898145E-03 1.44110979E+00 1.47346197E-02
-2.32414284E-03 1.44166804E+00 1.46664799E-02
-2.32924552E-03 1.44222685E+00 1.45980206E-02
-2.33429018E-03 1.44278622E+00 1.45292373E-02
-2.33927745E-03 1.44334615E+00 1.44601253E-02
-2.34420800E-03 1.44390664E+00 1.43906801E-02
-2.34908246E-03 1.44446769E+00 1.43208966E-02
-2.35390149E-03 1.44502930E+00 1.42507700E-02
-2.35866569E-03 1.44559148E+00 1.41802952E-02
-2.36335498E-03 1.44615244E+00 1.41104494E-02
-2.36782337E-03 1.44669944E+00 1.40483361E-02
-2.37224308E-03 1.44724699E+00 1.39859448E-02
-2.37661452E-03 1.44779508E+00 1.39232732E-02
-2.38093825E-03 1.44834373E+00 1.38603172E-02
-2.38521479E-03 1.44889293E+00 1.37970727E-02
-2.38944467E-03 1.44944269E+00 1.37335358E-02
-2.39362837E-03 1.44999299E+00 1.36697025E-02
-2.39776642E-03 1.45054386E+00 1.36055686E-02
-2.40185930E-03 1.45109527E+00 1.35411299E-02
-2.40573405E-03 1.45163070E+00 1.34844319E-02
-2.40956387E-03 1.45216623E+00 1.34277036E-02
-2.41335373E-03 1.45270231E+00 1.33707337E-02
-2.41710406E-03 1.45323893E+00 1.33135191E-02
-2.42081526E-03 1.45377609E+00 1.32560567E-02
-2.42448771E-03 1.45431379E+00 1.31983437E-02
-2.42812188E-03 1.45485204E+00 1.31403759E-02
-2.43171813E-03 1.45539083E+00 1.30821503E-02
-2.43527687E-03 1.45593017E+00 1.30236635E-02
-2.43865718E-03 1.45645531E+00 1.29712283E-02
-2.44197701E-03 1.45697817E+00 1.29197840E-02
-2.44526391E-03 1.45750156E+00 1.28681328E-02
-2.44851815E-03 1.45802548E+00 1.28162727E-02
-2.45174004E-03 1.45854994E+00 1.27642017E-02
-2.45493000E-03 1.45907493E+00 1.27119156E-02
-2.45808820E-03 1.45960045E+00 1.26594139E-02
-2.46121506E-03 1.46012651E+00 1.26066924E-02
-2.46431086E-03 1.46065311E+00 1.25537487E-02
-2.46726378E-03 1.46116751E+00 1.25054059E-02
-2.47014224E-03 1.46167714E+00 1.24588887E-02
-2.47299364E-03 1.46218729E+00 1.24121962E-02
-2.47581819E-03 1.46269796E+00 1.23653267E-02
-2.47861614E-03 1.46320915E+00 1.23182783E-02
-2.48138771E-03 1.46372086E+00 1.22710494E-02
-2.48413318E-03 1.46423310E+00 1.22236376E-02
-2.48685284E-03 1.46474586E+00 1.21760400E-02
-2.48954688E-03 1.46525915E+00 1.21282550E-02
-2.49212991E-03 1.46576246E+00 1.20838296E-02
-2.49462592E-03 1.46625841E+00 1.20419031E-02
-2.49709976E-03 1.46675488E+00 1.19998297E-02
-2.49955162E-03 1.46725185E+00 1.19576078E-02
-2.50198172E-03 1.46774934E+00 1.19152352E-02
-2.50439023E-03 1.46824734E+00 1.18727110E-02
-2.50677731E-03 1.46874584E+00 1.18300340E-02
-2.50914316E-03 1.46924486E+00 1.17872019E-02
-2.51148799E-03 1.46974440E+00 1.17442133E-02
-2.51375031E-03 1.47023631E+00 1.17035292E-02
-2.51591453E-03 1.47071828E+00 1.16658749E-02
-2.51806069E-03 1.47120074E+00 1.16280983E-02
-2.52018895E-03 1.47168370E+00 1.15901982E-02
-2.52229948E-03 1.47216717E+00 1.15521727E-02
-2.52439232E-03 1.47265113E+00 1.15140224E-02
-2.52646777E-03 1.47313559E+00 1.14757438E-02
-2.52852583E-03 1.47362055E+00 1.14373378E-02
-2.53056679E-03 1.47410601E+00 1.13988009E-02
-2.53255041E-03 1.47458630E+00 1.13616842E-02
-2.53442641E-03 1.47505410E+00 1.13280083E-02
-2.53628779E-03 1.47552238E+00 1.12942317E-02
-2.53813466E-03 1.47599114E+00 1.12603533E-02
-2.53996713E-03 1.47646040E+00 1.12263725E-02
-2.54178532E-03 1.47693013E+00 1.11922881E-02
-2.54358934E-03 1.47740036E+00 1.11580992E-02
-2.54537928E-03 1.47787107E+00 1.11238050E-02
-2.54715527E-03 1.47834228E+00 1.10894043E-02
-2.54889628E-03 1.47881081E+00 1.10556807E-02
-2.55052153E-03 1.47926437E+00 1.10256991E-02
-2.55213497E-03 1.47971840E+00 1.09956362E-02
-2.55373673E-03 1.48017290E+00 1.09654907E-02
-2.55532689E-03 1.48062788E+00 1.09352620E-02
-2.55690552E-03 1.48108333E+00 1.09049493E-02
-2.55847273E-03 1.48153926E+00 1.08745519E-02
-2.56002858E-03 1.48199566E+00 1.08440691E-02
-2.56157316E-03 1.48245254E+00 1.08135003E-02
-2.56310247E-03 1.48290925E+00 1.07829912E-02
-2.56450926E-03 1.48334864E+00 1.07564138E-02
-2.56590673E-03 1.48378849E+00 1.07297692E-02
-2.56729480E-03 1.48422881E+00 1.07030586E-02
-2.56867360E-03 1.48466958E+00 1.06762810E-02
-2.57004320E-03 1.48511083E+00 1.06494352E-02
-2.57140358E-03 1.48555252E+00 1.06225225E-02
-2.57275492E-03 1.48599469E+00 1.05955401E-02
-2.57409719E-03 1.48643732E+00 1.05684891E-02
-2.57543047E-03 1.48688041E+00 1.05413684E-02
-2.57665746E-03 1.48730760E+00 1.05175687E-02
-2.57786622E-03 1.48773344E+00 1.04940871E-02
