 EoSType = BetaEq
 Nrho= 231   NT=  61
 RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
 Tmin=   0.100000E+00    Tmax=   0.891251E+02
HeatCapacity=   0.160000E-02
     GammaTh=   0.166667E+01
    Kappa=   0.100000E+03
 RhoSpacing = Log
 TSpacing = Log
   8.777946E-03   2.035290E+00   3.603056E-02
   8.853431E-03   2.040544E+00   3.618667E-02
   8.930052E-03   2.045919E+00   3.633441E-02
   9.007651E-03   2.051403E+00   3.647594E-02
   9.086566E-03   2.057012E+00   3.663015E-02
   9.166290E-03   2.062713E+00   3.678945E-02
   9.247310E-03   2.068537E+00   3.696582E-02
   9.329261E-03   2.074445E+00   3.717410E-02
   9.412179E-03   2.080441E+00   3.741591E-02
   9.496368E-03   2.086488E+00   3.772370E-02
   9.581413E-03   2.092601E+00   3.806221E-02
   9.667869E-03   2.098715E+00   3.855188E-02
   9.755428E-03   2.104818E+00   3.910565E-02
   9.844385E-03   2.110854E+00   3.975978E-02
   9.935026E-03   2.116798E+00   4.064065E-02
   1.002679E-02   2.122745E+00   4.160557E-02
   1.012173E-02   2.128138E+00   4.287539E-02
   1.021829E-02   2.133464E+00   4.429522E-02
   1.031772E-02   2.138531E+00   4.609378E-02
   1.042119E-02   2.142893E+00   4.822173E-02
   1.052770E-02   2.146793E+00   5.051309E-02
   1.064074E-02   2.150049E+00   5.346888E-02
   1.075770E-02   2.152884E+00   5.653382E-02
   1.088493E-02   2.154205E+00   6.012944E-02
   1.101968E-02   2.155216E+00   6.412581E-02
   1.116205E-02   2.155915E+00   6.844149E-02
   1.132411E-02   2.154547E+00   7.406535E-02
   1.149505E-02   2.152554E+00   7.973403E-02
   1.168941E-02   2.149683E+00   8.579399E-02
   1.190312E-02   2.146184E+00   9.187092E-02
   1.214430E-02   2.141787E+00   9.813112E-02
   1.241974E-02   2.137630E+00   1.054170E-01
   1.271370E-02   2.133496E+00   1.128165E-01
   1.307946E-02   2.126891E+00   1.239530E-01
   1.347450E-02   2.119905E+00   1.349441E-01
   1.392497E-02   2.112207E+00   1.466640E-01
   1.446435E-02   2.103703E+00   1.599286E-01
   1.506988E-02   2.094637E+00   1.735004E-01
   1.581771E-02   2.084831E+00   1.883639E-01
   1.664718E-02   2.074971E+00   2.027328E-01
   1.765869E-02   2.065834E+00   2.174575E-01
   1.880622E-02   2.058382E+00   2.316991E-01
   2.007918E-02   2.050729E+00   2.462564E-01
   2.161615E-02   2.043682E+00   2.620241E-01
   2.327075E-02   2.036423E+00   2.775172E-01
   2.525928E-02   2.029281E+00   2.950599E-01
   2.744613E-02   2.022128E+00   3.126083E-01
   2.994330E-02   2.015164E+00   3.304658E-01
   3.281507E-02   2.008177E+00   3.501004E-01
   3.596600E-02   2.000881E+00   3.693079E-01
   3.967053E-02   1.993945E+00   3.906927E-01
   4.376393E-02   1.986795E+00   4.117032E-01
   4.843081E-02   1.979604E+00   4.337330E-01
   5.369150E-02   1.972538E+00   4.562242E-01
   5.955644E-02   1.965252E+00   4.780461E-01
   6.633382E-02   1.958150E+00   5.012683E-01
   7.383917E-02   1.950857E+00   5.230977E-01
   8.230481E-02   1.943940E+00   5.445359E-01
   9.179115E-02   1.937160E+00   5.647146E-01
   1.024474E-01   1.930422E+00   5.835169E-01
   1.143103E-01   1.924513E+00   6.003500E-01
   1.274351E-01   1.918658E+00   6.152797E-01
   1.420320E-01   1.913697E+00   6.282472E-01
   1.580879E-01   1.909134E+00   6.391006E-01
   1.756699E-01   1.905184E+00   6.479097E-01
   1.947919E-01   1.902135E+00   6.548712E-01
   2.157500E-01   1.899347E+00   6.603559E-01
  -2.301102E-03   1.583334E+00   1.635223E-02
  -2.288235E-03   1.584105E+00   1.653666E-02
  -2.275031E-03   1.584881E+00   1.672434E-02
  -2.261473E-03   1.585665E+00   1.691368E-02
  -2.247537E-03   1.586455E+00   1.710354E-02
  -2.233264E-03   1.587250E+00   1.729858E-02
  -2.218588E-03   1.588051E+00   1.749354E-02
  -2.203559E-03   1.588861E+00   1.769225E-02
  -2.188133E-03   1.589677E+00   1.789252E-02
  -2.172305E-03   1.590497E+00   1.809453E-02
  -2.156103E-03   1.591327E+00   1.829982E-02
  -2.139460E-03   1.592164E+00   1.850474E-02
  -2.122445E-03   1.593006E+00   1.871478E-02
  -2.104985E-03   1.593857E+00   1.892508E-02
  -2.087101E-03   1.594716E+00   1.913731E-02
  -2.068798E-03   1.595583E+00   1.935318E-02
  -2.050013E-03   1.596455E+00   1.956902E-02
  -2.030840E-03   1.597338E+00   1.979010E-02
  -2.011168E-03   1.598228E+00   2.001097E-02
  -1.991050E-03   1.599125E+00   2.023525E-02
