# EOS Table generated on 20120306 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.158181E-01
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
-2.73058962E-03 1.56209002E+00 4.62010454E-03
-2.73043224E-03 1.56210762E+00 4.63721098E-03
-2.73027179E-03 1.56212406E+00 4.65460744E-03
-2.73010253E-03 1.56213662E+00 4.67311368E-03
-2.72993264E-03 1.56214920E+00 4.69154512E-03
-2.72976199E-03 1.56216178E+00 4.70990506E-03
-2.72959070E-03 1.56217440E+00 4.72819191E-03
-2.72941868E-03 1.56218701E+00 4.74640832E-03
-2.72924595E-03 1.56219965E+00 4.76455451E-03
-2.72907251E-03 1.56221229E+00 4.78263126E-03
-2.72889835E-03 1.56222495E+00 4.80063937E-03
-2.72872247E-03 1.56223725E+00 4.81872850E-03
-2.72853612E-03 1.56224594E+00 4.83814667E-03
-2.72834893E-03 1.56225464E+00 4.85748719E-03
-2.72816096E-03 1.56226336E+00 4.87674972E-03
-2.72797213E-03 1.56227207E+00 4.89593644E-03
-2.72778251E-03 1.56228081E+00 4.91504697E-03
-2.72759206E-03 1.56228955E+00 4.93408283E-03
-2.72740079E-03 1.56229831E+00 4.95304488E-03
-2.72720868E-03 1.56230707E+00 4.97193396E-03
-2.72701570E-03 1.56231584E+00 4.99075155E-03
-2.72681143E-03 1.56232175E+00 5.01099891E-03
-2.72659167E-03 1.56230715E+00 5.03220836E-03
-2.72635950E-03 1.56227643E+00 5.05412129E-03
-2.72612647E-03 1.56224637E+00 5.07593066E-03
-2.72589247E-03 1.56221698E+00 5.09763921E-03
-2.72565760E-03 1.56218832E+00 5.11924573E-03
-2.72542192E-03 1.56216042E+00 5.14074902E-03
-2.72518517E-03 1.56213307E+00 5.16216315E-03
-2.72494624E-03 1.56210496E+00 5.18406945E-03
-2.72469833E-03 1.56207705E+00 5.20721140E-03
-2.72444761E-03 1.56204955E+00 5.23049452E-03
-2.72419604E-03 1.56202292E+00 5.25364667E-03
-2.72394330E-03 1.56199674E+00 5.27669908E-03
-2.72368937E-03 1.56197104E+00 5.29965153E-03
-2.72343451E-03 1.56194611E+00 5.32248733E-03
-2.72317725E-03 1.56192040E+00 5.34532727E-03
-2.72291852E-03 1.56189489E+00 5.36809571E-03
-2.72265883E-03 1.56187020E+00 5.39074931E-03
-2.72239144E-03 1.56184620E+00 5.41428588E-03
-2.72211993E-03 1.56182277E+00 5.43814557E-03
-2.72184714E-03 1.56179980E+00 5.46189951E-03
-2.72157325E-03 1.56177754E+00 5.48553344E-03
-2.72129636E-03 1.56175407E+00 5.50919813E-03
-2.72101837E-03 1.56173136E+00 5.53274363E-03
-2.72073916E-03 1.56170924E+00 5.55618380E-03
-2.72045873E-03 1.56168773E+00 5.57951867E-03
-2.72017711E-03 1.56166688E+00 5.60274755E-03
-2.71988879E-03 1.56164682E+00 5.62667079E-03
-2.71959482E-03 1.56162737E+00 5.65111553E-03
-2.71929773E-03 1.56160679E+00 5.67557978E-03
-2.71899941E-03 1.56158692E+00 5.69992071E-03
-2.71869950E-03 1.56156740E+00 5.72416629E-03
-2.71839838E-03 1.56154864E+00 5.74828880E-03
-2.71809590E-03 1.56153050E+00 5.77230116E-03
-2.71779213E-03 1.56151303E+00 5.79620217E-03
-2.71748664E-03 1.56149583E+00 5.82002403E-03
-2.71717419E-03 1.56147828E+00 5.84444907E-03
-2.71685435E-03 1.56146129E+00 5.86960209E-03
-2.71653299E-03 1.56144483E+00 5.89464026E-03
-2.71621023E-03 1.56142908E+00 5.91955178E-03
-2.71588601E-03 1.56141392E+00 5.94434838E-03
-2.71556009E-03 1.56139919E+00 5.96904377E-03
-2.71523260E-03 1.56138501E+00 5.99363150E-03
-2.71490182E-03 1.56137000E+00 6.01823204E-03
-2.71456940E-03 1.56135550E+00 6.04273201E-03
-2.71423264E-03 1.56134191E+00 6.06753576E-03
-2.71388713E-03 1.56132923E+00 6.09324948E-03
-2.71353987E-03 1.56131708E+00 6.11884627E-03
-2.71319101E-03 1.56130552E+00 6.14432290E-03
-2.71284045E-03 1.56129454E+00 6.16968244E-03
-2.71248627E-03 1.56128260E+00 6.19505969E-03
-2.71213001E-03 1.56127096E+00 6.22034620E-03
-2.71177220E-03 1.56126004E+00 6.24551284E-03
-2.71141274E-03 1.56124980E+00 6.27056268E-03
-2.71105012E-03 1.56124039E+00 6.29572311E-03
-2.71067727E-03 1.56123220E+00 6.32198196E-03
-2.71030226E-03 1.56122428E+00 6.34814135E-03
-2.70992381E-03 1.56121580E+00 6.37428093E-03
-2.70954289E-03 1.56120745E+00 6.40033956E-03
-2.70916018E-03 1.56119973E+00 6.42627677E-03
-2.70877568E-03 1.56119268E+00 6.45209257E-03
