# EOS Table generated on 20120309 from
# LS220_234r_136t_50y_analmu_20091212_SVNr26.h5
# Original table has nrho ntemp nye:    234   136    50
# T =    0.100000E-01
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.161865E-01
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
-9.84437509E-03 1.55327571E+00 3.18165162E-03
-9.84434407E-03 1.55342827E+00 3.18757669E-03
-9.84431300E-03 1.55358096E+00 3.19349123E-03
-9.84428179E-03 1.55373383E+00 3.19939361E-03
-9.84425056E-03 1.55388683E+00 3.20528616E-03
-9.84421922E-03 1.55404000E+00 3.21116724E-03
-9.84418780E-03 1.55419331E+00 3.21703746E-03
-9.84415450E-03 1.55434133E+00 3.22324243E-03
-9.84411904E-03 1.55448303E+00 3.22984268E-03
-9.84408346E-03 1.55462488E+00 3.23642879E-03
-9.84404777E-03 1.55476688E+00 3.24300140E-03
-9.84401201E-03 1.55490900E+00 3.24956119E-03
-9.84397612E-03 1.55505129E+00 3.25610707E-03
-9.84394012E-03 1.55519371E+00 3.26263970E-03
-9.84390402E-03 1.55533628E+00 3.26915917E-03
-9.84386781E-03 1.55547900E+00 3.27566555E-03
-9.84382785E-03 1.55561110E+00 3.28287682E-03
-9.84378723E-03 1.55574187E+00 3.29016939E-03
-9.84374652E-03 1.55587277E+00 3.29744630E-03
-9.84370564E-03 1.55600381E+00 3.30470646E-03
-9.84366466E-03 1.55613497E+00 3.31195117E-03
-9.84362351E-03 1.55626628E+00 3.31917934E-03
-9.84358223E-03 1.55639772E+00 3.32639167E-03
-9.84354085E-03 1.55652928E+00 3.33358889E-03
-9.84349798E-03 1.55665726E+00 3.34103447E-03
-9.84345184E-03 1.55677670E+00 3.34907746E-03
-9.84340553E-03 1.55689627E+00 3.35710104E-03
-9.84335908E-03 1.55701594E+00 3.36510596E-03
-9.84331243E-03 1.55713575E+00 3.37309111E-03
-9.84326562E-03 1.55725569E+00 3.38105724E-03
-9.84321868E-03 1.55737573E+00 3.38900514E-03
-9.84317153E-03 1.55749590E+00 3.39693366E-03
-9.84312424E-03 1.55761619E+00 3.40484420E-03
-9.84307335E-03 1.55772766E+00 3.41341538E-03
-9.84302094E-03 1.55783577E+00 3.42222747E-03
-9.84296836E-03 1.55794398E+00 3.43101741E-03
-9.84291554E-03 1.55805232E+00 3.43978406E-03
-9.84286251E-03 1.55816076E+00 3.44852826E-03
-9.84280931E-03 1.55826931E+00 3.45725082E-03
-9.84275586E-03 1.55837797E+00 3.46595060E-03
-9.84270220E-03 1.55848675E+00 3.47462843E-03
-9.84264764E-03 1.55859390E+00 3.48342724E-03
-9.84258858E-03 1.55869060E+00 3.49306594E-03
-9.84252927E-03 1.55878740E+00 3.50267792E-03
-9.84246970E-03 1.55888430E+00 3.51226340E-03
-9.84240991E-03 1.55898128E+00 3.52182328E-03
-9.84234983E-03 1.55907838E+00 3.53135640E-03
-9.84228949E-03 1.55917558E+00 3.54086366E-03
-9.84222889E-03 1.55927288E+00 3.55034526E-03
-9.84216802E-03 1.55937028E+00 3.55980141E-03
-9.84210398E-03 1.55946102E+00 3.56983205E-03
-9.84203738E-03 1.55954659E+00 3.58030051E-03
-9.84197044E-03 1.55963227E+00 3.59073752E-03
-9.84190322E-03 1.55971801E+00 3.60114475E-03
-9.84183568E-03 1.55980385E+00 3.61152177E-03
-9.84176782E-03 1.55988978E+00 3.62186884E-03
-9.84169962E-03 1.55997580E+00 3.63218549E-03
-9.84163113E-03 1.56006191E+00 3.64247341E-03
-9.84156232E-03 1.56014810E+00 3.65273213E-03
-9.84148789E-03 1.56022301E+00 3.66406612E-03
-9.84141298E-03 1.56029779E+00 3.67538414E-03
-9.84133773E-03 1.56037264E+00 3.68666789E-03
-9.84126207E-03 1.56044757E+00 3.69791622E-03
-9.84118603E-03 1.56052259E+00 3.70913018E-03
-9.84110960E-03 1.56059769E+00 3.72031008E-03
-9.84103282E-03 1.56067285E+00 3.73145696E-03
-9.84095562E-03 1.56074810E+00 3.74256966E-03
-9.84087583E-03 1.56081898E+00 3.75412602E-03
-9.84079230E-03 1.56088338E+00 3.76634798E-03
-9.84070834E-03 1.56094784E+00 3.77853086E-03
-9.84062390E-03 1.56101238E+00 3.79067353E-03
-9.84053903E-03 1.56107697E+00 3.80277789E-03
-9.84045370E-03 1.56114163E+00 3.81484356E-03
-9.84036788E-03 1.56120637E+00 3.82687012E-03
-9.84028163E-03 1.56127117E+00 3.83885949E-03
-9.84019491E-03 1.56133603E+00 3.85081124E-03
-9.84010309E-03 1.56139248E+00 3.86373866E-03
-9.84000975E-03 1.56144717E+00 3.87683852E-03
-9.83991588E-03 1.56150192E+00 3.88989393E-03
-9.83982144E-03 1.56155675E+00 3.90290454E-03
