# EOS Table generated on 20120306 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
EoSType = BetaEq
Nrho =   300NT =   120
RhoMin =   0.161865E-09      RhoMax =   0.158181E-01
Tmin =   0.100000E-01      Tmax =   0.316228E+03
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
TSpacing = Log
-1.54434267E-03 1.60705277E+00 2.46301424E-02
-1.51616289E-03 1.60794082E+00 2.48662989E-02
-1.48747306E-03 1.60883690E+00 2.51017701E-02
-1.45833183E-03 1.60974391E+00 2.53399950E-02
-1.42860891E-03 1.61065809E+00 2.55809262E-02
-1.39832728E-03 1.61157958E+00 2.58224326E-02
-1.36754690E-03 1.61250996E+00 2.60665902E-02
-1.33626607E-03 1.61345012E+00 2.63079326E-02
-1.30428365E-03 1.61439708E+00 2.65522113E-02
-1.27187904E-03 1.61535742E+00 2.67914836E-02
-1.23888511E-03 1.61632765E+00 2.70378656E-02
-1.20522028E-03 1.61730751E+00 2.72860103E-02
-1.17103400E-03 1.61829660E+00 2.75405879E-02
-1.13635026E-03 1.61929585E+00 2.77964598E-02
-1.10095251E-03 1.62030077E+00 2.80486109E-02
-1.06492717E-03 1.62131519E+00 2.82962923E-02
-1.02841264E-03 1.62234367E+00 2.85379553E-02
-9.90483000E-04 1.62339103E+00 2.87910897E-02
-9.51584671E-04 1.62445093E+00 2.90496519E-02
-9.12001108E-04 1.62551329E+00 2.93202360E-02
-8.71929850E-04 1.62658794E+00 2.95821404E-02
-8.31112377E-04 1.62767317E+00 2.98392414E-02
-7.89535974E-04 1.62877394E+00 3.00935033E-02
-7.47360464E-04 1.62988719E+00 3.03553687E-02
-7.04568976E-04 1.63101002E+00 3.06231755E-02
-6.61229880E-04 1.63214305E+00 3.08924103E-02
-6.17026901E-04 1.63328685E+00 3.11626014E-02
-5.72228809E-04 1.63444279E+00 3.14274284E-02
-5.26697853E-04 1.63560949E+00 3.16957579E-02
-4.80667417E-04 1.63678634E+00 3.19637296E-02
-4.33892022E-04 1.63797544E+00 3.22377231E-02
-3.86000427E-04 1.63918153E+00 3.25061842E-02
-3.36384888E-04 1.64040871E+00 3.27827755E-02
-2.86108066E-04 1.64164527E+00 3.30623209E-02
-2.35147268E-04 1.64289091E+00 3.33440732E-02
-1.83449293E-04 1.64414666E+00 3.36276287E-02
-1.31122646E-04 1.64541330E+00 3.39084651E-02
-7.79746682E-05 1.64669180E+00 3.41929878E-02
-2.43147749E-05 1.64798171E+00 3.44733101E-02
 3.05237334E-05 1.64928405E+00 3.47648193E-02
 8.58902683E-05 1.65059691E+00 3.50527611E-02
 1.42104875E-04 1.65192156E+00 3.53490926E-02
 1.98961641E-04 1.65325731E+00 3.56435286E-02
 2.57992207E-04 1.65461098E+00 3.59401051E-02
 3.17851218E-04 1.65597530E+00 3.62368511E-02
 3.78433736E-04 1.65735301E+00 3.65318308E-02
 4.39918062E-04 1.65874607E+00 3.68280755E-02
 5.01997425E-04 1.66015154E+00 3.71213005E-02
 5.65104339E-04 1.66157174E+00 3.74255481E-02
 6.28788712E-04 1.66300362E+00 3.77257096E-02
 6.93602992E-04 1.66444743E+00 3.80332741E-02
 7.59028688E-04 1.66590292E+00 3.83377749E-02
 8.26168165E-04 1.66737616E+00 3.86472449E-02
 8.94769541E-04 1.66886500E+00 3.89553597E-02
 9.64201913E-04 1.67036801E+00 3.92627941E-02
 1.03456976E-03 1.67188560E+00 3.95711542E-02
 1.10565254E-03 1.67341841E+00 3.98771962E-02
 1.17774264E-03 1.67497020E+00 4.01889685E-02
 1.25041275E-03 1.67653435E+00 4.04973548E-02
 1.32421150E-03 1.67811573E+00 4.08155848E-02
 1.39929979E-03 1.67971151E+00 4.11288174E-02
 1.47633124E-03 1.68133018E+00 4.14438663E-02
 1.55409565E-03 1.68296377E+00 4.17546622E-02
 1.63279681E-03 1.68461664E+00 4.20687290E-02
 1.71234489E-03 1.68628741E+00 4.23834591E-02
 1.79264989E-03 1.68797447E+00 4.26970826E-02
 1.87389639E-03 1.68968031E+00 4.30137566E-02
 1.95645103E-03 1.69140565E+00 4.33258638E-02
 2.04118163E-03 1.69316169E+00 4.36419942E-02
 2.12646302E-03 1.69493184E+00 4.39521969E-02
 2.21292296E-03 1.69672485E+00 4.42695174E-02
 2.29995513E-03 1.69853250E+00 4.45813200E-02
 2.38793456E-03 1.70036432E+00 4.48928522E-02
 2.47697698E-03 1.70221620E+00 4.52008874E-02
 2.56822045E-03 1.70409454E+00 4.55125123E-02
 2.66034789E-03 1.70599755E+00 4.58250304E-02
 2.75311332E-03 1.70791979E+00 4.61333780E-02
 2.84687824E-03 1.70986812E+00 4.64445524E-02
 2.94106220E-03 1.71183287E+00 4.67487830E-02
 3.03744056E-03 1.71383638E+00 4.70582285E-02
 3.13508388E-03 1.71585959E+00 4.73615009E-02
 3.23386868E-03 1.71791076E+00 4.76674924E-02
 3.33311474E-03 1.71998227E+00 4.79676024E-02
 3.43305091E-03 1.72208382E+00 4.82641113E-02
 3.53446590E-03 1.72421709E+00 4.85559829E-02
 3.63744036E-03 1.72638315E+00 4.88467566E-02
 3.74116082E-03 1.72858367E+00 4.91386346E-02
 3.84513681E-03 1.73080726E+00 4.94222374E-02
 3.94990829E-03 1.73306732E+00 4.97055820E-02
 4.05632581E-03 1.73538304E+00 4.99663088E-02
 4.16372561E-03 1.73775703E+00 5.02259992E-02
 4.27109272E-03 1.74015354E+00 5.04765215E-02
 4.37880605E-03 1.74258902E+00 5.07287747E-02
 4.48935796E-03 1.74498683E+00 5.10139728E-02
 4.60154815E-03 1.74739043E+00 5.13093081E-02
 4.71404397E-03 1.74983615E+00 5.15870586E-02
 4.82653547E-03 1.75232130E+00 5.18483459E-02
 4.93968870E-03 1.75489392E+00 5.20964508E-02
 5.05308439E-03 1.75754587E+00 5.23223219E-02
 5.16687866E-03 1.76025369E+00 5.25433314E-02
 5.27997268E-03 1.76298397E+00 5.27508222E-02
 5.38358487E-03 1.76648452E+00 5.27112796E-02
 5.48327957E-03 1.77021598E+00 5.25806457E-02
 5.56155331E-03 1.77588106E+00 5.17942648E-02
 5.64348536E-03 1.78204604E+00 5.08575715E-02
 5.73138233E-03 1.78818527E+00 4.99432978E-02
 5.82158267E-03 1.79440832E+00 4.90652847E-02
 5.91245998E-03 1.80053166E+00 4.82435768E-02
 6.00275294E-03 1.80678391E+00 4.74110556E-02
 6.09112128E-03 1.81291127E+00 4.66501060E-02
 6.17910558E-03 1.81889773E+00 4.59712197E-02
 6.26436688E-03 1.82482852E+00 4.53345343E-02
 6.34782353E-03 1.83084504E+00 4.46855126E-02
 6.42898921E-03 1.83679616E+00 4.40810304E-02
 6.50828909E-03 1.84257775E+00 4.35511275E-02
 6.58696095E-03 1.84835720E+00 4.30514794E-02
 6.66350266E-03 1.85409736E+00 4.25798532E-02
 6.73847186E-03 1.85980033E+00 4.21395369E-02
 6.81178686E-03 1.86541274E+00 4.17478349E-02
 6.88522120E-03 1.87102280E+00 4.13713103E-02
 6.95518068E-03 1.87655582E+00 4.10086625E-02
 7.02707696E-03 1.88203100E+00 4.07239367E-02
 7.09577533E-03 1.88736572E+00 4.04732037E-02
 7.16564115E-03 1.89265468E+00 4.02307696E-02
 7.23294174E-03 1.89791716E+00 3.99835194E-02
 7.30158735E-03 1.90308702E+00 3.98036264E-02
 7.36783367E-03 1.90825633E+00 3.96295195E-02
 7.43549215E-03 1.91334311E+00 3.94894056E-02
 7.50199929E-03 1.91845534E+00 3.93620170E-02
 7.56755577E-03 1.92341223E+00 3.92790211E-02
