rho_c = 0.0014, P_c = 0.000205407, eps_c = 0.00152633
Scale = 100, Pressure Depletion = 1
finished odeint with kount = 3916, r = 7.78294, and P = 1.40532e-22
Found TOV solution for rho_c = 0.0014
       Mass   = 1.27184
       Radius = 6.44839
       Circ Radius = 7.78294
       Surf Lapse =  0.820471  0.820471  7.78294
#r (iso)        rho          P
2.9598   0.00110278   0.000100145
2.96632   0.00110151   9.98052e-05
2.97284   0.00110024   9.94661e-05
2.97936   0.00109897   9.91271e-05
2.98588   0.00109769   9.87882e-05
2.9924   0.00109641   9.84495e-05
2.99892   0.00109513   9.8111e-05
3.00544   0.00109385   9.77726e-05
3.01196   0.00109257   9.74344e-05
3.01848   0.00109128   9.70964e-05
3.025   0.00108999   9.67585e-05
3.03152   0.0010887   9.64208e-05
3.03804   0.0010874   9.60833e-05
3.04456   0.0010861   9.5746e-05
3.05108   0.0010848   9.54089e-05
3.0576   0.0010835   9.5072e-05
3.06411   0.00108219   9.47353e-05
3.07063   0.00108089   9.43988e-05
3.07715   0.00107958   9.40625e-05
3.08367   0.00107826   9.37264e-05
3.09019   0.00107695   9.33905e-05
3.09671   0.00107563   9.30548e-05
3.10323   0.00107431   9.27193e-05
3.10975   0.00107298   9.23841e-05
3.11627   0.00107166   9.20491e-05
3.12279   0.00107033   9.17143e-05
3.12931   0.001069   9.13798e-05
3.13583   0.00106766   9.10455e-05
3.14235   0.00106633   9.07114e-05
3.14887   0.00106499   9.03776e-05
3.15539   0.00106365   9.0044e-05
3.16191   0.0010623   8.97107e-05
3.16842   0.00106096   8.93776e-05
3.17494   0.00105961   8.90448e-05
3.18146   0.00105826   8.87122e-05
3.18798   0.0010569   8.83799e-05
3.1945   0.00105555   8.80479e-05
3.20102   0.00105419   8.77162e-05
3.20754   0.00105283   8.73847e-05
3.21406   0.00105146   8.70535e-05
3.22058   0.0010501   8.67225e-05
3.2271   0.00104873   8.63919e-05
3.23362   0.00104735   8.60615e-05
3.24014   0.00104598   8.57315e-05
3.24666   0.0010446   8.54017e-05
3.25318   0.00104322   8.50722e-05
3.2597   0.00104184   8.47431e-05
3.26622   0.00104045   8.44142e-05
3.27274   0.00103907   8.40856e-05
3.27925   0.00103768   8.37574e-05
3.28577   0.00103628   8.34294e-05
3.29229   0.00103489   8.31018e-05
3.29881   0.00103349   8.27745e-05
3.30533   0.00103209   8.24475e-05
3.31185   0.00103069   8.21208e-05
3.31837   0.00102928   8.17945e-05
3.32489   0.00102787   8.14685e-05
3.33141   0.00102646   8.11428e-05
3.33793   0.00102505   8.08175e-05
3.34445   0.00102363   8.04925e-05
3.35097   0.00102222   8.01679e-05
3.35749   0.00102079   7.98436e-05
3.36401   0.00101937   7.95197e-05
3.37053   0.00101794   7.91961e-05
3.37705   0.00101652   7.88728e-05
3.38356   0.00101508   7.855e-05
3.39008   0.00101365   7.82275e-05
3.3966   0.00101221   7.79053e-05
3.40312   0.00101077   7.75835e-05
3.40964   0.00100933   7.72621e-05
3.41616   0.00100789   7.69411e-05
3.42268   0.00100644   7.66204e-05
3.4292   0.00100499   7.63002e-05
3.43572   0.00100354   7.59803e-05
3.44224   0.00100208   7.56608e-05
3.44876   0.00100062   7.53417e-05
