#rho_c = 0.0014, P_c = 0.000236305, eps_c = 0.00153286
#Scale = 100, Pressure Depletion = 1
#finished odeint with kount = 3958, r = 7.8672, and P = 5.03375e-23
#Found TOV solution for rho_c = 0.0014
#       Mass   = 1.41939
#       Radius = 6.36873
#       Circ Radius = 7.8672
#       Surf Lapse =  0.799477  0.799477  7.8672
#r (iso)        rho          P
2.7172   0.00115337   0.00013096
2.72364   0.00115226   0.000130577
2.73008   0.00115116   0.000130194
2.73651   0.00115005   0.000129812
2.74295   0.00114894   0.000129429
2.74939   0.00114783   0.000129047
2.75583   0.00114671   0.000128664
2.76227   0.0011456   0.000128282
2.76871   0.00114448   0.000127899
2.77515   0.00114336   0.000127517
2.78159   0.00114224   0.000127134
2.78803   0.00114111   0.000126752
2.79446   0.00113999   0.00012637
2.8009   0.00113886   0.000125988
2.80734   0.00113773   0.000125605
2.81378   0.0011366   0.000125223
2.82022   0.00113546   0.000124841
2.82666   0.00113432   0.000124459
2.8331   0.00113318   0.000124077
2.83954   0.00113204   0.000123696
2.84597   0.0011309   0.000123314
2.85241   0.00112975   0.000122932
2.85885   0.00112861   0.000122551
2.86529   0.00112746   0.000122169
2.87173   0.00112631   0.000121788
2.87817   0.00112515   0.000121406
2.88461   0.001124   0.000121025
2.89105   0.00112284   0.000120644
2.89749   0.00112168   0.000120263
2.90392   0.00112051   0.000119882
2.91036   0.00111935   0.000119502
2.9168   0.00111818   0.000119121
2.92324   0.00111702   0.000118741
2.92968   0.00111585   0.00011836
2.93612   0.00111467   0.00011798
2.94256   0.0011135   0.0001176
2.949   0.00111232   0.00011722
2.95544   0.00111114   0.00011684
2.96187   0.00110996   0.000116461
2.96831   0.00110878   0.000116081
2.97475   0.00110759   0.000115702
2.98119   0.00110641   0.000115323
2.98763   0.00110522   0.000114944
2.99407   0.00110402   0.000114565
3.00051   0.00110283   0.000114186
3.00695   0.00110164   0.000113808
3.01339   0.00110044   0.00011343
3.01982   0.00109924   0.000113052
3.02626   0.00109804   0.000112674
3.0327   0.00109683   0.000112296
3.03914   0.00109563   0.000111918
3.04558   0.00109442   0.000111541
3.05202   0.00109321   0.000111164
3.05846   0.001092   0.000110787
3.0649   0.00109078   0.00011041
3.07133   0.00108956   0.000110034
3.07777   0.00108835   0.000109658
3.08421   0.00108713   0.000109282
3.09065   0.0010859   0.000108906
3.09709   0.00108468   0.00010853
3.10353   0.00108345   0.000108155
3.10997   0.00108222   0.00010778
3.11641   0.00108099   0.000107405
3.12285   0.00107976   0.00010703
3.12928   0.00107852   0.000106656
3.13572   0.00107729   0.000106282
3.14216   0.00107605   0.000105908
3.1486   0.00107481   0.000105534
3.15504   0.00107356   0.000105161
3.16148   0.00107232   0.000104788
3.16792   0.00107107   0.000104415
3.17436   0.00106982   0.000104042
3.1808   0.00106857   0.00010367
3.18723   0.00106731   0.000103298
3.19367   0.00106606   0.000102926
3.20011   0.0010648   0.000102555
3.20655   0.00106354   0.000102184
3.21299   0.00106228   0.000101813
3.21943   0.00106101   0.000101442
3.22587   0.00105975   0.000101072
3.23231   0.00105848   0.000100702
3.23875   0.00105721   0.000100332
3.24518   0.00105594   9.9963e-05
3.25162   0.00105466   9.95939e-05
3.25806   0.00105339   9.92252e-05
3.2645   0.00105211   9.88567e-05
3.27094   0.00105083   9.84886e-05
3.27738   0.00104954   9.81209e-05
3.28382   0.00104826   9.77534e-05
3.29026   0.00104697   9.73863e-05
3.29669   0.00104568   9.70195e-05
3.30313   0.00104439   9.6653e-05
3.30957   0.0010431   9.62869e-05
3.31601   0.0010418   9.59211e-05
3.32245   0.0010405   9.55557e-05
3.32889   0.0010392   9.51906e-05
3.33533   0.0010379   9.48259e-05
3.34177   0.0010366   9.44615e-05
3.34821   0.00103529   9.40975e-05
3.35464   0.00103398   9.37338e-05
3.36108   0.00103267   9.33705e-05
3.36752   0.00103136   9.30076e-05
3.37396   0.00103005   9.26451e-05
3.3804   0.00102873   9.22829e-05
3.38684   0.00102741   9.19211e-05
3.39328   0.00102609   9.15597e-05
3.39972   0.00102477   9.11986e-05
3.40616   0.00102344   9.0838e-05
3.41259   0.00102212   9.04777e-05
3.41903   0.00102079   9.01179e-05
3.42547   0.00101946   8.97584e-05
3.43191   0.00101812   8.93993e-05
3.43835   0.00101679   8.90406e-05
3.44479   0.00101545   8.86824e-05
3.45123   0.00101411   8.83245e-05
3.45767   0.00101277   8.7967e-05
3.46411   0.00101143   8.761e-05
3.47054   0.00101008   8.72534e-05
3.47698   0.00100873   8.68972e-05
3.48342   0.00100738   8.65414e-05
3.48986   0.00100603   8.6186e-05
3.4963   0.00100468   8.58311e-05
3.50274   0.00100332   8.54766e-05
3.50918   0.00100196   8.51225e-05
3.51562   0.0010006   8.47689e-05
3.52205   0.000999236   8.44157e-05
3.52849   0.000997871   8.40629e-05
3.53493   0.000996503   8.37106e-05
3.54137   0.000995134   8.33587e-05
3.54781   0.000993762   8.30073e-05
3.55425   0.000992389   8.26563e-05
3.56069   0.000991013   8.23058e-05
3.56713   0.000989635   8.19557e-05
3.57357   0.000988254   8.16062e-05
3.58   0.000986872   8.1257e-05
3.58644   0.000985488   8.09084e-05
3.59288   0.000984101   8.05602e-05
3.59932   0.000982712   8.02124e-05
3.60576   0.000981321   7.98652e-05
3.6122   0.000979928   7.95184e-05
3.61864   0.000978532   7.91721e-05
3.62508   0.000977135   7.88263e-05
3.63152   0.000975735   7.84809e-05
3.63795   0.000974333   7.81361e-05
3.64439   0.000972929   7.77917e-05
3.65083   0.000971523   7.74479e-05
3.65727   0.000970114   7.71045e-05
3.66371   0.000968703   7.67616e-05
3.67015   0.00096729   7.64193e-05
3.67659   0.000965875   7.60774e-05
3.68303   0.000964458   7.5736e-05
3.68947   0.000963038   7.53952e-05
3.6959   0.000961617   7.50548e-05
3.70234   0.000960193   7.4715e-05
3.70878   0.000958766   7.43757e-05
3.71522   0.000957338   7.40368e-05
3.72166   0.000955907   7.36986e-05
3.7281   0.000954474   7.33608e-05
3.73454   0.000953039   7.30236e-05
3.74098   0.000951602   7.26868e-05
3.74741   0.000950162   7.23507e-05
3.75385   0.00094872   7.2015e-05
3.76029   0.000947276   7.16799e-05
3.76673   0.00094583   7.13453e-05
3.77317   0.000944381   7.10113e-05
3.77961   0.00094293   7.06778e-05
3.78605   0.000941477   7.03448e-05
3.79249   0.000940022   7.00124e-05
3.79893   0.000938564   6.96805e-05
3.80536   0.000937104   6.93492e-05
3.8118   0.000935641   6.90185e-05
3.81824   0.000934177   6.86883e-05
3.82468   0.00093271   6.83586e-05
3.83112   0.000931241   6.80295e-05
3.83756   0.000929769   6.7701e-05
3.844   0.000928295   6.73731e-05
3.85044   0.000926819   6.70457e-05
3.85688   0.000925341   6.67188e-05
3.86331   0.00092386   6.63926e-05
3.86975   0.000922377   6.60669e-05
3.87619   0.000920891   6.57418e-05
3.88263   0.000919403   6.54173e-05
